Xposition,Yposition,aVtemperature,aVthirst,aVfood,aVpredator,aVpeer,TFtemperature,TFthirst,TFfood,TFpredator,TFpeer,Grad_Temp
3.198957106242782e-08,-0.009500066994218117,0.5855000000000005,0.7982000000000002,0.9982000000000002,0.30362307230568575,0.3991000000000001,-0.0,0.29850470136548796,0.6943570334258877,-0.0,1.0,0.9592503456285439
3.198955727048925e-08,-0.009500062790469152,0.6900000000000012,0.7960000000000005,0.9960000000000004,0.30362307230568575,0.39800000000000024,0.3336405257657941,0.1048848399564488,0.22101157625795367,0.009474277289069263,1.0,0.9582476946809009
3.198955727048925e-08,-0.009500062790469152,0.7850000000000018,0.7940000000000007,0.9940000000000007,0.30335162271175586,0.39700000000000035,0.19905098013676992,0.12373152335580519,0.13949584982445346,0.10420026578187194,1.0,0.9561524199636694
3.198955727048925e-08,-0.009500062790469152,0.8800000000000024,0.7920000000000009,0.9920000000000009,0.2929201412949477,0.39600000000000046,0.05445392886851677,0.18743262859280194,0.05027946313248005,0.18803847773671054,1.0,0.9539389926643332
3.1989422678998774e-08,-0.009500022310296313,0.9845000000000032,0.7898000000000012,0.9898000000000011,0.27105813597921724,0.3949000000000006,0.1904669985227509,0.12296231326203928,0.25695649145318367,0.19493943040567308,1.0,0.9516094873866202
3.1989422678998774e-08,-0.009500022310296313,1.0,0.7878000000000014,0.9878000000000013,0.2265509094915083,0.3939000000000007,0.15092587799241647,-0.0,0.31218974884006934,0.06153900906118958,1.0,0.9491667338824644
3.1989422678998774e-08,-0.009500022310296313,1.0,0.7856000000000016,0.9856000000000016,0.18580408985257885,0.3928000000000008,0.011561215633041397,0.17685019904072935,-0.0,-0.0,1.0,0.9466142412812731
3.19893762098011e-08,-0.009500008519975213,1.0,0.7836000000000019,0.9836000000000018,0.15136067335806808,0.3918000000000009,0.1216086992564709,0.12986413208277997,0.24098536655381006,-0.0,1.0,0.9439561080822934
3.19893762098011e-08,-0.009500008519975213,1.0,0.7814000000000021,0.981400000000002,0.12313929465050207,0.39070000000000105,-0.0,0.10838119456673707,0.33729438655969285,-0.0,1.0,0.9411969225766955
3.19893762098011e-08,-0.009500008519975213,1.0,0.7792000000000023,0.9792000000000023,0.09313080871721977,0.38960000000000117,0.23785992169490264,0.4625317504647552,0.702950367423423,0.13368362330937994,1.0,0.938341658465506
3.1989358985085445e-08,-0.009500003117154742,1.0,0.7770000000000026,0.9770000000000025,0.0716210018492971,0.3885000000000013,-0.0,0.369062760846258,0.33015643367962555,0.10973470358486183,1.0,0.9353955701836516
3.1989358985085445e-08,-0.009500003117154742,1.0,0.7750000000000028,0.9750000000000028,0.04640267393002415,0.3875000000000014,0.06214173944338373,0.13868805142766763,-0.0,0.05410662007372198,1.0,0.932364091900417
3.1989358985085445e-08,-0.009500003117154742,1.0,0.772800000000003,0.972800000000003,0.027949675799617046,0.3864000000000015,0.1992564716666688,0.098385922190885,0.040828335039384725,0.27037378128624334,1.0,0.9292527434337842
3.198935379886585e-08,-0.009500001276584005,1.0,0.7706000000000033,0.9706000000000032,0.012681283975600938,0.38530000000000164,0.31654589795567906,0.1488941050837995,0.013290506239988726,-0.0,1.0,0.9260670454861327
3.198935379886585e-08,-0.009500001276584005,1.0,0.7684000000000035,0.9684000000000035,0.0031647806861143787,0.49420000000000186,0.049644474421326405,0.0754593346922445,0.041744310914582854,0.07196938384286146,1.0,0.9228124457686082
3.198935379886585e-08,-0.009500001276584005,1.0,0.7664000000000037,0.9664000000000037,0.00012869101384845784,0.5932000000000021,-0.0,-0.0,0.2650911011645491,0.14043019343153687,1.0,0.9194942568007726
3.198935082179414e-08,-0.009500000555478824,1.0,0.764200000000004,0.9642000000000039,0.0,0.7021000000000023,0.1394350490409052,0.03146934890849832,0.07282439279069244,0.1806190383577577,1.0,0.9161176054989788
3.198935082179414e-08,-0.009500000555478824,1.0,0.7620000000000042,0.9620000000000042,0.0,0.8110000000000025,-0.0,0.13780276180067488,0.23685969549879743,0.2018191950749295,1.0,0.9126873941276624
3.198935082179414e-08,-0.009500000555478824,1.0,0.7598000000000045,0.9598000000000044,0.0,0.9199000000000027,0.017727473233030394,0.057429665679949726,0.4486158415134097,-0.0,1.0,0.909208271790055
3.198934935005803e-08,-0.009500000319815733,1.0,0.7576000000000047,0.9576000000000047,0.0,1.0,-0.0,-0.0,0.086162527332172,0.14335697836780964,1.0,0.905684615371843
3.198934935005803e-08,-0.009500000319815733,1.0,0.755400000000005,0.9554000000000049,0.0,1.0,0.15017736403614868,0.18569426688678037,0.0579095063158172,0.11168025547102169,1.0,0.9021205187067395
3.198934935005803e-08,-0.009500000319815733,1.0,0.7532000000000052,0.9532000000000052,0.0,1.0,0.01367697576763266,0.20973097213498523,0.17099775045763893,0.13839966872320042,1.0,0.8985197886853435
3.198934929240722e-08,-0.009500000220882989,1.0,0.7510000000000054,0.9510000000000054,0.0,1.0,-0.0,-0.0,0.05521684352810347,0.46017666462687645,1.0,0.8948856585347872
3.198934929240722e-08,-0.009500000220882989,1.0,0.7488000000000057,0.9488000000000056,0.0,0.9989000000000001,0.1103353881802409,0.014570064098149248,0.19139525338218052,0.21102985659171203,1.0,0.8912216070051436
3.198934929240722e-08,-0.009500000220882989,1.0,0.7466000000000059,0.9466000000000059,0.0,0.9978000000000002,0.42440745350683773,1.0,0.3607280612576806,0.6831603135608286,0.7632397635711591,0.88753065918559
