Xposition,Yposition,aVtemperature,aVthirst,aVfood,aVpredator,aVpeer,TFtemperature,TFthirst,TFfood,TFpredator,TFpeer,Grad_Temp
3.199491609696763e-08,-0.009501720729333994,0.5950000000000005,0.7980000000000003,0.9980000000000002,0.31357145077070525,0.39900000000000013,0.30934195946083454,0.09072484068007182,0.2028810689536479,0.12481712233354647,1.0,0.9592503456285439
3.1994592326738074e-08,-0.009501612507612526,0.6995000000000012,0.7958000000000005,0.9958000000000005,0.31334395707830126,0.39790000000000025,0.48741852475448233,0.2433184840997546,0.667223368168134,0.19236820077208514,1.0,0.9582476946809009
3.1994592326738074e-08,-0.009501612507612526,0.8040000000000019,0.7936000000000007,0.9936000000000007,0.3029473844231801,0.3968000000000004,1.0,0.10613401722250626,0.7987600317967347,0.15626398083090462,0.1136680629811084,0.9561524199636694
3.1994592326738074e-08,-0.009501612507612526,0.9085000000000026,0.791400000000001,0.991400000000001,0.28922609097408986,0.3957000000000005,0.7197465201092277,0.39970714540350255,1.0,0.36669834410307334,0.5068804620312871,0.9539389926643332
3.1991253386367e-08,-0.00950057037979717,1.0,0.7892000000000012,0.9892000000000012,0.2734935077276504,0.3946000000000006,0.5743731733761847,-0.0,1.0,0.018955455033801975,0.2296533382300044,0.9516094873866202
3.1991253386367e-08,-0.00950057037979717,1.0,0.7870000000000015,0.9870000000000014,0.2417698070014092,0.39350000000000074,1.0,0.23401381079092756,0.7137799050263177,-0.0,0.20325162005827493,0.9491667338824644
3.1991253386367e-08,-0.00950057037979717,1.0,0.7848000000000017,0.9848000000000017,0.2076380443830903,0.39240000000000086,1.0,0.17640438223828103,0.7160108371484344,0.19943754118932766,0.09218874349417296,0.9466142412812731
3.199006847982764e-08,-0.009500215358684323,1.0,0.782600000000002,0.9826000000000019,0.16183212214981388,0.391300000000001,1.0,0.8087092259200904,0.5968552071403858,0.3371018254985134,0.3603979514544392,0.9439561080822934
3.199006847982764e-08,-0.009500215358684323,1.0,0.7804000000000022,0.9804000000000022,0.11892243067565611,0.3902000000000011,0.1262118107735778,0.4780191109892315,0.1717050961786439,0.6812004522726085,1.0,0.9411969225766955
3.199006847982764e-08,-0.009500215358684323,1.0,0.7784000000000024,0.9784000000000024,0.08648619422024917,0.3892000000000012,0.2090774496803603,0.006751639083331601,0.325766497334807,0.37305523945346747,1.0,0.938341658465506
3.1989602646976235e-08,-0.009500076267132292,1.0,0.7762000000000027,0.9762000000000026,0.06549188936879594,0.38810000000000133,0.1146818224010506,0.14066559623690109,0.2581436455460806,0.20644953303087568,1.0,0.9353955701836516
3.1989602646976235e-08,-0.009500076267132292,1.0,0.7740000000000029,0.9740000000000029,0.04494435772270179,0.38700000000000145,-0.0,0.14589458013108486,0.013759324537961479,0.1766748669483883,1.0,0.932364091900417
3.1989602646976235e-08,-0.009500076267132292,1.0,0.7718000000000032,0.9718000000000031,0.026094909842331305,0.3859000000000016,0.19971087496204715,-0.0,0.03089608328612276,0.025765616794653577,1.0,0.9292527434337842
3.198943284116674e-08,-0.009500025383454864,1.0,0.7696000000000034,0.9696000000000033,0.011485358271532704,0.3848000000000017,0.07078152945030605,0.22440992341744737,0.25554637514731193,0.07109289862199865,1.0,0.9260670454861327
3.198943284116674e-08,-0.009500025383454864,1.0,0.7676000000000036,0.9676000000000036,0.00368367503911377,0.3838000000000018,0.35420862286357124,0.2680244328368964,-0.0,0.08029687543631132,1.0,0.9228124457686082
3.198943284116674e-08,-0.009500025383454864,1.0,0.7654000000000039,0.9654000000000038,0.0009930067653802133,0.3827000000000019,0.1341448550809632,0.3850365661346983,-0.0,-0.0,1.0,0.9194942568007726
